company_id,score_final,score_bruto,clasificacion,tendencia,score_trayectoria,alerta_temprana,alerta_severidad,alerta_activa_ultimo_mes,primera_alerta,giro_detectado,primer_giro,naturaleza_caida,caida_score_3m,giro_sigmas,delta_score_ultimo_mes,motivo_cambio_ultimo_mes,cambio_real_ultimo_mes,cambio_cobertura_ultimo_mes,group_id,meses_evaluados,meses_activos,evidencia_efectiva,cobertura_media,cobertura_reciente,confianza,apto_ranking,score_ultimo_mes,eventos_detectados,eventos_totales,meses_anticipacion,meses_anticipacion_nivel,meses_ganados_a_nivel
COMP_1096,87.81,91.15,SALUDABLE,MEJORANDO,71.52,1,vigilancia,0,2025-07,1,2025-07,bache,10.95,1.26,-3.18,trayectoria -1.7; cobro_clientes -1.4,-3.16,0.0,GROUP_0125,22,22,7.507,0.967,1.0,alta,1,93.3,,,,,
COMP_1086,87.02,90.28,SALUDABLE,ESTABLE,56.0,1,vigilancia,0,2025-03,1,2025-03,bache,6.45,2.15,-0.86,trayectoria +0.7,0.74,0.0,GROUP_0193,22,22,7.507,0.967,1.0,alta,1,91.09,,,,,
COMP_0256,86.13,90.44,SALUDABLE,ESTABLE,54.97,0,,0,,0,,,,,-4.91,trayectoria -5.8; colchon +0.9,-4.9,0.0,GROUP_0170,14,14,5.517,0.949,1.0,alta,1,89.78,,,,,
COMP_0691,83.02,87.31,SALUDABLE,DETERIORANDO,36.96,1,vigilancia,0,2026-05,1,2026-05,bache,7.67,1.32,-0.29,trayectoria -0.9; deuda_comercial +0.7,-0.28,0.0,GROUP_0010,8,8,5.008,0.955,1.0,media,1,86.98,0.0,1.0,,,
COMP_0693,82.75,85.58,SALUDABLE,DETERIORANDO,32.8,1,vigilancia,1,2025-03,1,2025-03,bache,8.55,1.5,-2.58,liquidez -3.1,-2.59,0.0,GROUP_0116,22,22,7.507,0.967,1.0,alta,1,79.15,,,,,
COMP_0254,82.72,85.55,SALUDABLE,ESTABLE,46.93,1,vigilancia,0,2025-12,1,2025-12,bache,10.47,1.61,-12.56,trayectoria -5.3; eficiencia -5.3,-12.56,0.0,GROUP_0158,22,22,7.507,0.967,1.0,alta,1,77.75,,,,,
COMP_1167,82.65,85.48,SALUDABLE,ESTABLE,50.12,1,vigilancia,0,2025-03,1,2025-03,bache,28.35,1.58,2.13,colchon +2.1,2.11,0.0,GROUP_0212,22,22,7.507,0.967,1.0,alta,1,90.84,,,,,
COMP_0851,82.33,90.41,SALUDABLE,DETERIORANDO,40.71,0,,0,,0,,,,,4.49,trayectoria +4.5,4.48,0.0,GROUP_0211,7,7,2.594,0.897,0.94,media,1,93.72,,,,,
COMP_0661,81.87,84.75,SALUDABLE,DETERIORANDO,35.45,0,,0,,0,,,,,-3.1,deuda_comercial -3.6; colchon +1.8,-3.08,0.0,GROUP_0222,20,20,7.16,0.955,1.0,alta,1,79.06,,,,,
COMP_0735,81.44,84.87,SALUDABLE,ESTABLE,56.59,1,vigilancia,0,2025-11,1,2025-11,bache,28.46,1.8,-16.78,deuda_comercial -23.4; colchon +18.0,-22.98,6.22,GROUP_0200,17,17,5.913,0.905,0.88,alta,1,74.12,,,,,
COMP_0776,81.36,84.11,SALUDABLE,DETERIORANDO,41.08,1,vigilancia,0,2026-02,1,2026-02,bache,20.62,1.62,-19.54,liquidez -9.9; eficiencia -5.3,-19.54,0.0,GROUP_0158,21,21,7.346,0.966,1.0,alta,1,70.64,,,,,
COMP_0321,81.3,83.98,SALUDABLE,ESTABLE,49.45,0,,0,,0,,,,,-1.84,trayectoria -1.7; colchon +1.3,-0.24,0.0,GROUP_0159,22,22,7.507,0.967,1.0,alta,1,80.91,,,,,
COMP_0703,81.3,83.98,SALUDABLE,MEJORANDO,72.68,1,vigilancia,0,2026-01,1,2026-01,bache,14.55,1.69,1.45,colchon +1.4,1.46,0.0,GROUP_0115,22,22,7.507,0.967,1.0,alta,1,94.55,,,,,
COMP_0991,80.68,86.19,SALUDABLE,ESTABLE,57.88,0,,0,,0,,,,,-4.91,colchon -3.3,-3.33,0.0,GROUP_0127,10,10,3.579,0.928,1.0,media,1,89.13,,,,,
COMP_0581,80.26,82.85,SALUDABLE,ESTABLE,49.99,1,vigilancia,0,2025-09,1,2025-09,bache,8.51,1.64,5.01,colchon +2.2,1.8,0.0,GROUP_0191,22,22,7.507,0.967,1.0,alta,1,85.56,,,,,
COMP_0145,80.25,89.14,SALUDABLE,DETERIORANDO,33.86,0,,0,,0,,,,,0.63,trayectoria +0.6,0.62,0.0,GROUP_0007,6,6,2.182,0.88,0.88,media,1,88.79,,,,,
COMP_0617,80.03,86.53,SALUDABLE,ESTABLE,56.51,0,,0,,0,,,,,-3.43,trayectoria -3.9,-3.44,0.0,GROUP_0212,8,8,2.961,0.91,0.97,media,1,85.25,,,,,
COMP_0704,80.0,85.11,SALUDABLE,ESTABLE,47.3,1,vigilancia,0,2026-05,1,2026-05,bache,15.02,1.75,19.24,eficiencia +13.3; trayectoria +3.6,19.24,0.0,GROUP_0131,12,12,3.758,0.928,1.0,alta,1,95.04,,,,,
COMP_1186,79.92,84.53,SALUDABLE,MEJORANDO,65.13,0,,0,,0,,,,,-0.58,trayectoria -1.5; colchon +0.9,-0.59,0.0,GROUP_0135,11,11,4.15,0.935,1.0,media,1,94.05,,,,,
COMP_1107,79.9,82.85,SALUDABLE,MEJORANDO,62.89,1,vigilancia,0,2025-08,1,2025-08,bache,11.12,2.24,3.82,trayectoria +2.5; colchon +1.3,3.82,0.0,GROUP_0103,17,17,6.483,0.958,1.0,alta,1,88.95,,,,,
COMP_0374,79.85,87.2,SALUDABLE,MEJORANDO,65.2,0,,0,,0,,,,,20.91,eficiencia +13.3; colchon +6.5,20.91,0.0,GROUP_0020,7,7,2.594,0.897,0.94,media,1,94.58,,,,,
COMP_0108,79.79,82.33,SALUDABLE,ESTABLE,47.77,1,vigilancia,0,2025-06,1,2025-06,bache,10.81,1.5,3.38,trayectoria +2.4; colchon +1.0,3.38,0.0,GROUP_0179,22,22,7.507,0.967,1.0,alta,1,83.08,,,,,
COMP_0652,79.71,82.42,SALUDABLE,ESTABLE,54.18,0,,0,,0,,,,,-5.54,deuda_comercial -5.5; colchon +4.6,-5.55,0.0,GROUP_0222,20,20,6.994,0.955,1.0,alta,1,76.11,,,,,
COMP_0024,79.68,82.49,SALUDABLE,ESTABLE,49.71,0,,0,,0,,,,,-7.23,deuda_comercial -5.5; eficiencia -2.0,-7.25,0.0,GROUP_0222,18,18,6.738,0.96,1.0,alta,1,75.69,,,,,
COMP_0599,79.49,84.54,SALUDABLE,ESTABLE,50.63,1,vigilancia,0,2025-11,0,,,,,-2.89,"deuda_comercial +4.8; liquidez +4.5 (cambio dominado por datos nuevos, no por comportamiento)",0.0,14.18,GROUP_0018,11,11,3.731,0.876,0.893,media,1,85.45,,,,,
COMP_0627,79.37,81.87,SALUDABLE,MEJORANDO,72.88,1,vigilancia,0,2024-12,1,2025-12,bache,20.05,1.32,0.99,colchon +1.0,0.99,0.0,GROUP_0115,22,22,7.507,0.967,1.0,alta,1,91.93,,,,,
COMP_0249,79.2,81.67,SALUDABLE,ESTABLE,47.39,1,vigilancia,1,2025-03,1,2025-03,bache,18.88,1.58,-14.32,liquidez -11.3; eficiencia -3.4,-14.3,0.0,GROUP_0194,22,22,7.501,0.959,1.0,alta,1,60.21,,,,,
COMP_0505,79.17,81.93,SALUDABLE,MEJORANDO,62.55,1,vigilancia,0,2025-11,1,2025-11,bache,30.35,1.72,3.91,colchon +3.7,3.92,0.0,GROUP_0092,18,18,6.738,0.96,1.0,alta,1,87.8,,,,,
COMP_0983,79.05,81.51,SALUDABLE,ESTABLE,47.97,1,vigilancia,0,2025-04,1,2025-04,bache,18.27,1.47,-0.89,,-0.89,0.0,GROUP_0118,22,22,7.507,0.967,1.0,alta,1,83.69,,,,,
COMP_0076,79.04,81.82,SALUDABLE,ESTABLE,53.58,1,vigilancia,0,2025-04,1,2025-04,bache,6.06,2.02,-0.28,"deuda_comercial +4.2; liquidez +4.0 (cambio dominado por datos nuevos, no por comportamiento)",-0.65,16.18,GROUP_0146,21,21,6.647,0.911,0.84,alta,1,91.57,,,,,
COMP_0005,78.95,81.9,SALUDABLE,DETERIORANDO,32.0,0,,0,,0,,,,,8.27,colchon +4.7; eficiencia +2.0,8.28,0.0,GROUP_0092,17,17,6.249,0.958,1.0,alta,1,89.26,,,,,
COMP_1047,78.79,81.61,SALUDABLE,ESTABLE,50.44,1,vigilancia,0,2025-07,1,2025-08,bache,16.67,1.6,-6.04,liquidez -2.7; trayectoria -2.4,-4.45,0.0,GROUP_0092,17,17,6.483,0.958,1.0,alta,1,81.62,,,,,
COMP_0845,78.75,81.45,SALUDABLE,DETERIORANDO,41.45,1,vigilancia,0,2026-05,1,2026-05,bache,15.84,1.89,-5.71,colchon +4.6; trayectoria -3.6,-5.72,0.0,GROUP_0222,18,18,6.738,0.96,1.0,alta,1,76.74,,,,,
COMP_0301,78.64,84.78,SALUDABLE,ESTABLE,52.73,0,,0,,0,,,,,-2.48,trayectoria -4.0; colchon +1.5,-2.48,0.0,GROUP_0009,8,8,2.961,0.91,0.97,media,1,84.51,,,,,
COMP_1136,78.58,81.27,SALUDABLE,ESTABLE,44.4,1,vigilancia,0,2025-08,1,2025-08,bache,18.67,1.8,8.58,trayectoria +6.9; colchon +1.9,8.57,0.0,GROUP_0222,18,18,6.738,0.96,1.0,alta,1,80.88,,,,,
COMP_0122,78.54,80.95,SALUDABLE,DETERIORANDO,31.9,1,vigilancia,0,2025-09,1,2025-09,bache,10.44,1.35,4.56,liquidez +3.1; colchon +1.5,4.55,0.0,GROUP_0086,22,22,7.507,0.967,1.0,alta,1,79.74,,,,,
COMP_0999,78.48,81.06,SALUDABLE,ESTABLE,43.4,1,nivel_bajo,0,2025-01,0,,,,,-11.5,trayectoria -4.5; deuda_comercial -3.6,-11.49,0.0,GROUP_0222,20,20,6.994,0.955,1.0,alta,1,74.21,,,,,
COMP_0407,77.99,80.61,SALUDABLE,ESTABLE,42.83,0,,0,,0,,,,,-5.17,liquidez -2.7; colchon -1.3,-5.15,0.0,GROUP_0067,18,18,6.738,0.96,1.0,alta,1,76.96,,,,,
COMP_1001,77.83,80.17,SALUDABLE,ESTABLE,48.65,1,vigilancia,0,2025-03,1,2025-03,bache,18.8,1.47,-5.56,liquidez -2.7; trayectoria -2.2,-5.55,0.0,GROUP_0143,22,22,7.507,0.967,1.0,alta,1,76.39,,,,,
COMP_0623,77.66,80.47,SALUDABLE,ESTABLE,51.76,1,vigilancia,0,2025-09,1,2025-09,bache,11.03,1.58,-5.65,liquidez -2.7; colchon -1.6,-5.65,0.0,GROUP_0063,16,16,6.197,0.955,1.0,alta,1,78.33,,,,,
COMP_1181,77.2,82.97,SALUDABLE,ESTABLE,51.21,1,vigilancia,0,2026-05,1,2026-05,bache,14.42,1.61,5.92,liquidez +2.7; trayectoria +1.8,5.92,0.0,GROUP_0009,8,8,2.961,0.91,0.97,media,1,85.64,,,,,
COMP_0877,77.18,81.29,SALUDABLE,MEJORANDO,65.99,1,vigilancia,0,2026-02,1,2026-02,bache,8.44,1.33,-0.33,colchon -0.7,-0.32,0.0,GROUP_0127,11,11,4.15,0.935,1.0,media,1,84.11,,,,,
COMP_0165,77.14,79.88,SALUDABLE,ESTABLE,50.0,0,,0,,0,,,,,0.0,,0.0,0.0,GROUP_0035,21,21,6.23,0.837,0.82,alta,1,79.46,,,,,
COMP_1201,77.03,80.67,SALUDABLE,MEJORANDO,59.84,1,vigilancia,0,2026-01,1,2026-01,bache,14.18,1.3,10.4,colchon +4.5; trayectoria +3.9,10.4,0.0,GROUP_0211,12,12,4.659,0.94,1.0,alta,1,94.3,0.0,1.0,,,
COMP_1213,76.85,79.09,SALUDABLE,ESTABLE,54.39,1,vigilancia,0,2026-05,1,2026-05,caida_estructural,12.09,1.33,1.45,trayectoria +3.4; colchon -1.9,1.44,0.0,GROUP_0158,22,22,7.507,0.967,1.0,alta,1,82.85,,,,,
COMP_0030,76.83,79.12,SALUDABLE,ESTABLE,49.91,1,vigilancia,1,2025-02,1,2026-03,bache,14.58,1.57,-1.87,eficiencia -2.0,-1.87,0.0,GROUP_0126,21,21,7.34,0.957,1.0,alta,1,69.31,,,,,
COMP_0392,76.83,79.23,SALUDABLE,DETERIORANDO,39.95,0,,0,,0,,,,,-2.6,deuda_comercial -5.4; trayectoria +4.4,-2.6,0.0,GROUP_0222,20,20,6.994,0.955,1.0,alta,1,75.8,,,,,
